order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
1,1,64,1,113.76,0,113.76
2,1,95,1,42.95,0,42.95
3,1,160,1,40.26,0,40.26
4,2,56,1,48.94,0,48.94
5,3,136,1,116.14,0,116.14
6,3,27,2,21.73,0,43.46
7,3,72,1,196.03,0,196.03
8,4,121,1,374.5,0,374.5
9,5,29,1,122.84,0,122.84
10,5,142,1,31.27,0.15,26.58
11,5,7,1,33.9,0,33.9
12,5,61,1,12.8,0.1,11.52
13,5,155,1,82.21,0,82.21
14,6,126,1,319.24,0,319.24
15,6,54,1,92.65,0,92.65
16,6,54,2,92.65,0.2,148.24
17,6,128,1,398.69,0,398.69
18,7,108,1,97.45,0.1,87.7
19,8,101,3,68.79,0,206.37
20,8,3,1,101.49,0,101.49
21,9,135,1,105.74,0,105.74
22,9,160,1,40.26,0,40.26
23,10,64,1,113.76,0,113.76
24,10,101,2,68.79,0,137.58
25,11,61,2,12.8,0,25.6
26,11,54,2,92.65,0,185.3
27,11,54,2,92.65,0,185.3
28,11,64,2,113.76,0,227.52
29,12,33,2,49.0,0,98.0
30,12,152,1,66.12,0,66.12
31,12,119,2,213.48,0,426.96
32,12,39,1,43.96,0.1,39.56
33,13,54,2,92.65,0,185.3
34,14,129,1,36.16,0,36.16
35,14,87,1,40.81,0,40.81
36,14,54,1,92.65,0,92.65
37,15,50,1,55.81,0,55.81
38,16,47,3,173.41,0,520.23
39,16,121,1,374.5,0,374.5
40,16,33,1,49.0,0.1,44.1
41,17,94,1,59.56,0,59.56
42,18,158,1,14.07,0,14.07
43,18,54,1,92.65,0,92.65
44,19,21,1,274.21,0,274.21
45,20,118,1,357.71,0.1,321.94
46,20,115,1,276.86,0,276.86
47,21,145,1,84.99,0,84.99
48,22,140,1,66.53,0.1,59.88
49,22,17,1,75.74,0,75.74
50,23,142,1,31.27,0,31.27
51,23,127,1,268.94,0,268.94
52,24,110,1,59.23,0,59.23
53,25,126,1,319.24,0,319.24
54,25,84,1,13.12,0,13.12
55,26,70,2,67.88,0,135.76
56,26,61,1,12.8,0,12.8
57,26,35,1,124.39,0,124.39
58,27,145,1,84.99,0,84.99
59,28,96,1,51.37,0,51.37
60,29,54,1,92.65,0,92.65
61,29,21,1,274.21,0,274.21
62,30,119,2,213.48,0,426.96
63,31,140,2,66.53,0,133.06
64,31,130,1,68.02,0,68.02
65,32,70,1,67.88,0.1,61.09
66,33,54,2,92.65,0,185.3
67,33,88,1,39.57,0,39.57
68,33,101,1,68.79,0,68.79
69,34,124,2,13.96,0,27.92
70,34,41,1,179.88,0,179.88
71,34,81,1,52.03,0.1,46.83
72,35,121,1,374.5,0.2,299.6
73,35,93,2,19.37,0,38.74
74,36,105,1,348.07,0.1,313.26
75,36,139,2,70.5,0,141.0
76,36,135,1,105.74,0,105.74
77,37,43,1,75.67,0.1,68.1
78,37,123,1,92.73,0,92.73
